tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-45.00568512486603,1.5127122985945012,0.00522264118096445,0.01,0.01,0.0
blue,-39.94124186194215,1.5391623090218691,0.010647127978221765,0.01,0.01,0.0
blue,-34.87743161854424,1.620553184898563,0.03261035987498899,0.01,0.01,0.0
blue,-29.819594884030874,1.8693499122120687,0.09672352871727037,0.01,0.01,0.0
blue,-24.812753428090335,2.597091591747363,0.24768781915234112,0.01,0.01,0.0
blue,-20.073067888687298,4.3340559103452705,0.46312591276682813,0.01,0.01,0.0
blue,-15.828491729011626,7.083365149252076,0.6071424074614794,0.01,0.01,0.0
blue,-11.76535212988295,10.105208701540773,0.5796865736994451,0.01,0.01,0.0
blue,-7.381067330116185,12.614067730293202,0.39794279324259463,0.01,0.01,0.0
blue,-2.5256703569949552,13.989297255444303,0.13793608081889944,0.01,0.01,0.0
blue,2.525670356994962,13.989297255444306,-0.1379360808188988,0.01,0.01,0.0
blue,7.381067330116186,12.614067730293206,-0.39794279324259496,0.01,0.01,0.0
blue,11.76535212988295,10.105208701540775,-0.5796865736994457,0.01,0.01,0.0
blue,15.828491729011622,7.083365149252075,-0.6071424074614795,0.01,0.01,0.0
blue,20.073067888687298,4.3340559103452705,-0.4631259127668279,0.01,0.01,0.0
blue,24.81275342809034,2.597091591747361,-0.24768781915234095,0.01,0.01,0.0
blue,29.819594884030884,1.8693499122120671,-0.09672352871727014,0.01,0.01,0.0
blue,34.87743161854426,1.6205531848985626,-0.03261035987498889,0.01,0.01,0.0
blue,39.94124186194217,1.5391623090218685,-0.010647127978221737,0.01,0.01,0.0
blue,45.00568512486603,1.5127122985945012,-0.005222641180964334,0.01,0.01,0.0
yellow,-44.99431487513397,-1.487266154231624,0.005214895744077052,0.01,0.01,0.0
yellow,-39.93098931829177,-1.4608611999718153,0.010563041386478386,0.01,0.01,0.0
yellow,-34.868278567274174,-1.3803004352663806,0.031715786155124,0.01,0.01,0.0
yellow,-29.811017524005003,-1.1397906774356443,0.09005216166454506,0.01,0.01,0.0
yellow,-24.795102379944787,-0.4707291244607308,0.2198272849819165,0.01,0.01,0.0
yellow,-19.97966160284603,1.0569085816960704,0.4130201166746335,0.01,0.01,0.0
yellow,-15.592621492943305,3.5620424603197525,0.5785856344961223,0.01,0.01,0.0
yellow,-11.526669337201303,6.577970700467597,0.6082927534170632,0.01,0.01,0.0
yellow,-7.293016019990838,9.341727306195327,0.45261110080417405,0.01,0.01,0.0
yellow,-2.5204017218253925,10.95753420038401,0.16318862037515205,0.01,0.01,0.0
yellow,2.5204017218254067,10.957534200384003,-0.16318862037515383,0.01,0.01,0.0
yellow,7.293016019990851,9.341727306195317,-0.4526111008041745,0.01,0.01,0.0
yellow,11.526669337201314,6.577970700467587,-0.608292753417063,0.01,0.01,0.0
yellow,15.592621492943318,3.5620424603197454,-0.5785856344961215,0.01,0.01,0.0
yellow,19.97966160284605,1.056908581696064,-0.4130201166746326,0.01,0.01,0.0
yellow,24.79510237994481,-0.4707291244607335,-0.21982728498191623,0.01,0.01,0.0
yellow,29.81101752400501,-1.1397906774356452,-0.09005216166454498,0.01,0.01,0.0
yellow,34.86827856727418,-1.3803004352663808,-0.031715786155124,0.01,0.01,0.0
yellow,39.93098931829177,-1.460861199971816,-0.010563041386478372,0.01,0.01,0.0
yellow,44.99431487513397,-1.487266154231624,-0.0052148957440769205,0.01,0.01,0.0
car_start,-53.0,0.012723072181438644,0.0037900923179961803,0.0,0.0,0.0
